file_name,category,file_size_mb,status,flagged,score,method_mismatch,data_entropy_shannon,data_entropy_renyi,eocd_count,any_crc_mismatch,is_encrypted,lf_compression_method,cd_compression_method,declared_vs_entropy_flag,lf_unknown_method,suspicious_entry_count,suspicious_entry_ratio,error,file_path,entropy_variance,entry_count,file_size_bytes,lf_crc_valid
snort3_3330_src,security_tools,5.114776611328125,ok,False,0.0005933916545473039,False,7.9978,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/snort3_3330_src.zip,3.5701,2564,5363232,False
sonarqube_10051_community,sonarqube,437.18590450286865,ok,False,0.031639665365219116,False,8.0,1.0,1,True,False,8,8,False,0,85,0.186,,data/benign_realworld/sonarqube_10051_community.zip,8.2168,457,458422647,True
spring_framework_618_src,spring,18.67411231994629,ok,False,0.0005933916545473039,False,7.9979,-0.0,1,True,False,0,0,True,0,0,0.0,,data/benign_realworld/spring_framework_618_src.zip,9.1452,12448,19581226,False
sysinternals_autoruns,sysinternals,2.7965354919433594,ok,False,0.004071135073900223,False,7.9962,7.9856,1,False,False,8,8,False,0,0,0.0,,data/benign_realworld/sysinternals_autoruns.zip,0.0004,8,2932380,True
sysinternals_procexp,sysinternals,3.3499021530151367,ok,False,0.018524136394262314,False,7.9946,7.9891,2,False,False,8,8,False,0,0,0.0,,data/benign_realworld/sysinternals_procexp.zip,0.0006,4,3512627,True
sysinternals_procmon,sysinternals,2.874147415161133,ok,False,0.004071135073900223,False,7.9958,7.9916,1,False,False,8,8,False,0,0,0.0,,data/benign_realworld/sysinternals_procmon.zip,0.0006,4,3013762,True
sysinternals_suite,sysinternals,168.7087984085083,ok,False,0.1047796979546547,False,7.9987,7.994,2,False,False,8,8,False,0,20,0.1099,,data/benign_realworld/sysinternals_suite.zip,0.0564,182,176903997,True
sysinternals_tcpview,sysinternals,1.5302696228027344,ok,False,0.0040413811802864075,False,7.9956,7.9822,1,False,False,8,8,False,0,0,0.0,,data/benign_realworld/sysinternals_tcpview.zip,0.0004,8,1604604,True
temurin_jdk17_win64,java_runtime,181.30209922790527,ok,False,0.003520693862810731,False,7.9998,-0.0,2,True,False,0,0,True,0,17,0.0011,,data/benign_realworld/temurin_jdk17_win64.zip,1.3324,15517,190109030,False
temurin_jdk21_win64,java_runtime,194.97046279907227,ok,False,0.003520693862810731,False,7.9998,-0.0,2,True,False,0,0,True,0,22,0.0014,,data/benign_realworld/temurin_jdk21_win64.zip,1.2941,16000,204441348,False
terraform_166_win64,terraform,24.11418914794922,ok,False,0.0023338189348578453,False,-0.0,-0.0,1,True,False,8,8,False,0,0,0.0,,data/benign_realworld/terraform_166_win64.zip,0.0,1,25285560,True
terraform_175_win64,terraform,25.067630767822266,ok,False,0.0023338189348578453,False,-0.0,-0.0,1,True,False,8,8,False,0,0,0.0,,data/benign_realworld/terraform_175_win64.zip,0.0,1,26285316,True
terraform_184_linux64,terraform,25.506165504455566,ok,False,0.0023338189348578453,False,-0.0,-0.0,1,True,False,8,8,False,0,0,0.0,,data/benign_realworld/terraform_184_linux64.zip,0.0,2,26745153,True
terraform_184_win64,terraform,25.803072929382324,ok,False,0.0023338189348578453,False,-0.0,-0.0,1,True,False,8,8,False,0,0,0.0,,data/benign_realworld/terraform_184_win64.zip,0.0,2,27056483,True
